objected,title,creator,subject,date,format,filename,youtubeid
man_01,Neogénesis,Himmy Eliecer Escalona,Documental,2006,video/mp4,https://www.youtube.com/watch?v=g-t2MvJQguY,g-t2MvJQguY
man_02,Neogénesis,,Ficha Técnica,,application/pdf,ft_neogénesis.pdf,
man_03,El oledor de pólvora.,Dayron Porrua,Ficción,2007,video/mp4,https://www.youtube.com/watch?v=TOi5htoth4s,TOi5htoth4s
man_04,El oledor de pólvora.,,Ficha Técnica,,application/pdf,ft_oledor.pdf,
man_05,Un día cualquiera,Pedro Martín Navarro,Ficción,2008,video/mp4,https://www.youtube.com/watch?v=iyVxtb2zUew,iyVxtb2zUew
man_06,Un día cualquiera,,Ficha Técnica,,application/pdf,ft_día.pdf,
man_07,Simbiosis I,Eyder Armas Alamguer,Ficción,2008,video/mp4,https://www.youtube.com/watch?v=q9hHczT4AFo,q9hHczT4AFo
man_08,Simbiosis I,,Ficha Técnica,,application/pdf,ft_simbiosisI.pdf,
man_09,Costas extrañas,Dayron Porrua y Eyder Armas Almaguer,Documental,2009,video/mp4,https://www.youtube.com/watch?v=zjRrR4ZBFFQ,zjRrR4ZBFFQ
man_10,Costas extrañas,,Ficha Técnica,,application/pdf,ft_costas.pdf,
man_11,Costas extrañas,,Poster,,image/jpeg,p_costas.jpg,
man_12,Los anocheceres son apacibles aquí,Dayron Porrua y Eyder Armas Eyder Armas Almaguer,Documental,2010,video/mp4,https://www.youtube.com/watch?v=8aYvbDbEzW8,8aYvbDbEzW8
man_13,Los anocheceres son apacibles aquí,,Ficha Técnica,,application/pdf,ft_anocheceres.pdf,
man_14,It began as a mistake,Eyder Armas Alamguer y Pedro Martín Navarro,Ficción,2010,video/mp4,https://www.youtube.com/watch?v=fudrFmOFxCA,fudrFmOFxCA
man_15,It began as a mistake,,Ficha Técnica,,application/pdf,ft_itbegan.pdf,
man_16,Zona de conflicto,Eyder Armas Alamguer,Ficción,2010,video/mp4,https://www.youtube.com/watch?v=Y7oJmanYMK8,Y7oJmanYMK8
man_17,Zona de conflicto ,,Ficha Técnica,,application/pdf,ft_zonadeconflicto.pdf,
man_18,Zona de conflicto (El Monte),Geordanys Santana Avilés,Ficción,2010,video/mp4,https://www.youtube.com/watch?v=2fX4SC-Jytk,2fX4SC-Jytk
man_19,Zona de conflicto (El Monte),,Ficha Técnica,,application/pdf,ft_zonadeconflicto_elmonte.pdf,
man_20,REM,Javier Sánchez Recio y Néstor Siré Mederos,Ficción,2010,video/mp4,https://www.youtube.com/watch?v=2iN6QvMqxZ4,2iN6QvMqxZ4
man_21,REM,,Ficha Técnica,,application/pdf,ft_REM.pdf,
man_22,Zona de conflicto (Zombi),Leonardo Gómez,Ficción,2011,video/mp4,https://www.youtube.com/watch?v=lHLGAj8bBrg,lHLGAj8bBrg
man_23,Zona de conflicto (Zombi),,Ficha Técnica,,application/pdf,ft_zc_zombi.pdf,
man_24,Insomnio,Pedro Martín Navarro y Eyder Armas Almaguer,Ficción,2011,video/mp4,https://www.youtube.com/watch?v=CwHocEA9R_8,CwHocEA9R_8
man_25,Insomnio,,Ficha Técnica,,application/pdf,ft_insomnio.pdf,
man_26,Insomnio,,Poster,,image/jpeg,p_insomnio.jpg,
man_27,Aguas Negras,Hugo Navarro Ramírez,Ficción,2011,video/mp4,https://www.youtube.com/watch?v=ZggIV2U2sGI,ZggIV2U2sGI
man_28,Aguas Negras,,Ficha Técnica,,application/pdf,ft_aguasnegras.pdf,
man_29,Aguas Negras,,Poster,,image/jpeg,p_aguasnegras (2).jpg,
man_30,Aguas Negras,,Poster,,image/jpeg,p_aguasnegras.jpg,
man_31,Abstinencia,Hugo Navarro Ramírez,Ficha Técnica,2011,application/pdf,ft_abstinencia.pdf,
man_32,Abstinencia,,Poster,,image/jpeg,p_abstinencia.jpg,
man_33,La costurera,Hugo Navarro Ramírez,Video musical,2011,video/mp4,https://www.youtube.com/watch?v=pWKi4zKbjJM,pWKi4zKbjJM
man_34,La costurera,,Ficha Técnica,,application/pdf,ft_lacosturera.pdf,
man_35,Consecuencia,Hugo Navarro Ramírez,Ficha Técnica,2011,application/pdf,ft_consecuencia.pdf,
man_36,Consecuencia,,Poster,,image/jpeg,p_consecuencia.jpg,
man_37,Zona de conflicto (Pre-universitario),Eyder Armas Alamguer,Ficción,2012,video/mp4,https://www.youtube.com/watch?v=t6f3tYab7KQ,t6f3tYab7KQ
man_38,Zona de conflicto (Pre-universitario),,Ficha Técnica,,application/pdf,ft_zonadeconflictopre.pdf,
man_39,La rebelión,Hugo Navarro Ramírez,Video musical,2012,video/mp4,https://www.youtube.com/watch?v=_5i1Yin6JLU,_5i1Yin6JLU
man_40,La rebelión,,Ficha Técnica,,application/pdf,ft_rebelión.pdf,
man_41,La rebelión,,Poster,,image/jpeg,p_rebelión.png,
man_42,Escape,Hugo Navarro Ramírez,Ficha Técnica,2012,application/pdf,ft_escape.pdf,
man_43,Escape,,Poster,,image/jpeg,p_escape.jpg,
man_44,Plegaria,Eyder Armas Almaguer,Documental,2012,video/mp4,https://www.youtube.com/watch?v=wEFrL963-Ew,wEFrL963-Ew
man_45,Plegaria,,Ficha Técnica,,application/pdf,ft_plegaria.pdf,
man_46,Plegaria,,Poster,,image/jpeg,p_plegaria.jpg,
man_47,33 aura tiñosa,Néstor Siré Mederos,Documental,2012,video/mp4,https://www.youtube.com/watch?v=3H-wUVce54I,3H-wUVce54I
man_48,33 aura tiñosa,,Ficha Técnica,,application/pdf,ft_33auratiñosa.pdf,
man_49,33 aura tiñosa,,Poster,,image/jpeg,p_33auratiñosa.jpg,
man_50,33 aura tiñosa,,Poster,,image/jpeg,p_33auratiñosa1.jpg,
man_51,Examen Final,Hugo Navarro Ramírez,Ficción,2013,video/mp4,https://www.youtube.com/watch?v=UlCLO6wMvbs,UlCLO6wMvbs
